Is Checked,委托编号,委托时间,委托状态,股票代码,股票名称,买卖方向,委托价格,委托数量,成交数量,撤单数量,挂单数量,证券市场,委托属性,废单原因
FALSE,8000153,15:01:13,已成,204001,GC001,卖出,0.100,3100,3100,0,0,沪A,4,
FALSE,8000152,14:47:46,已报,000563,陕国投Ａ,卖出,3.010,500,0,0,500,深A,0,
FALSE,8000151,14:47:17,已报,000563,陕国投Ａ,卖出,3.090,500,0,0,500,深A,0,
FALSE,8000150,14:47:17,已成,000563,陕国投Ａ,买入,3.000,500,500,0,0,深A,0,
FALSE,8000145,14:21:14,已报,601187,厦门银行,卖出,5.430,200,0,0,200,沪A,0,
FALSE,8000144,14:21:14,已报,601187,厦门银行,买入,5.350,300,0,0,300,沪A,0,
FALSE,8000134,13:51:42,已成,601187,厦门银行,卖出,5.370,300,300,0,0,沪A,0,
FALSE,8000132,13:42:03,已报,601187,厦门银行,卖出,5.390,300,0,0,300,沪A,0,
FALSE,8000110,13:19:49,已成,000563,陕国投Ａ,卖出,3.010,500,500,0,0,深A,0,
FALSE,8000109,13:18:50,已报,601187,厦门银行,卖出,5.410,300,0,0,300,沪A,0,
FALSE,8000106,13:18:23,已撤,601187,厦门银行,卖出,5.510,100,0,100,100,沪A,0,
FALSE,8000105,13:18:23,已成,601187,厦门银行,买入,5.390,300,300,0,0,沪A,0,
FALSE,8000099,10:32:49,已报,000563,陕国投Ａ,卖出,3.030,500,0,0,500,深A,0,
FALSE,8000098,10:25:19,已成,601187,厦门银行,卖出,5.410,300,300,0,0,沪A,0,
FALSE,8000081,09:58:39,已撤,601187,厦门银行,卖出,5.430,300,0,300,300,沪A,0,
FALSE,8000079,09:48:39,已撤,601187,厦门银行,卖出,5.550,200,0,200,200,沪A,0,
FALSE,8000078,09:48:39,已成,601187,厦门银行,买入,5.410,300,300,0,0,沪A,0,
FALSE,8000077,09:44:10,已成,601187,厦门银行,卖出,5.430,300,300,0,0,沪A,0,
FALSE,8000076,09:41:09,已撤,601187,厦门银行,卖出,5.530,200,0,200,200,沪A,0,
FALSE,8000075,09:41:09,已成,601187,厦门银行,买入,5.410,300,300,0,0,沪A,0,
FALSE,8000074,09:39:50,已报,000563,陕国投Ａ,卖出,3.070,500,0,0,500,深A,0,
FALSE,8000073,09:39:50,已成,000563,陕国投Ａ,买入,3.010,500,500,0,0,深A,0,
FALSE,8000072,09:39:12,已撤,601187,厦门银行,卖出,5.510,200,0,200,200,沪A,0,
FALSE,8000071,09:39:12,已成,601187,厦门银行,买入,5.390,300,300,0,0,沪A,0,
FALSE,8000070,09:33:17,已成,601187,厦门银行,卖出,5.410,300,300,0,0,沪A,0,
FALSE,8000069,09:31:13,已报,002475,立讯精密,卖出,28.530,100,0,0,100,深A,0,
FALSE,8000068,09:30:45,已撤,601187,厦门银行,卖出,5.490,200,0,200,200,沪A,0,
FALSE,8000067,09:30:45,已成,601187,厦门银行,买入,5.390,300,300,0,0,沪A,0,
FALSE,8000066,09:30:39,已撤,601187,厦门银行,卖出,5.470,200,0,200,200,沪A,0,
FALSE,8000065,09:30:39,已成,601187,厦门银行,买入,5.370,300,300,0,0,沪A,0,
FALSE,8000064,09:30:13,已成,601187,厦门银行,卖出,5.390,300,300,0,0,沪A,0,
FALSE,8000038,09:20:40,已报,601187,厦门银行,买入,5.010,200,0,0,200,沪A,0,
FALSE,8000037,09:20:40,已报,601187,厦门银行,买入,5.030,200,0,0,200,沪A,0,
FALSE,8000036,09:20:40,已报,601187,厦门银行,买入,5.050,200,0,0,200,沪A,0,
FALSE,8000035,09:20:40,已报,601187,厦门银行,买入,5.070,200,0,0,200,沪A,0,
FALSE,8000034,09:20:40,已报,601187,厦门银行,买入,5.090,200,0,0,200,沪A,0,
FALSE,8000033,09:20:40,已报,601187,厦门银行,买入,5.110,200,0,0,200,沪A,0,
FALSE,8000032,09:20:40,已报,601187,厦门银行,买入,5.130,200,0,0,200,沪A,0,
FALSE,8000031,09:20:40,已报,601187,厦门银行,买入,5.150,200,0,0,200,沪A,0,
FALSE,8000030,09:20:40,已报,601187,厦门银行,买入,5.170,200,0,0,200,沪A,0,
FALSE,8000029,09:20:40,已报,601187,厦门银行,买入,5.190,300,0,0,300,沪A,0,
FALSE,8000028,09:20:40,已报,601187,厦门银行,买入,5.210,300,0,0,300,沪A,0,
FALSE,8000027,09:20:40,已报,601187,厦门银行,买入,5.230,300,0,0,300,沪A,0,
FALSE,8000026,09:20:40,已报,601187,厦门银行,买入,5.250,300,0,0,300,沪A,0,
FALSE,8000025,09:20:40,已报,601187,厦门银行,买入,5.270,300,0,0,300,沪A,0,
FALSE,8000024,09:20:40,已报,601187,厦门银行,买入,5.290,300,0,0,300,沪A,0,
FALSE,8000023,09:20:40,已报,601187,厦门银行,买入,5.310,300,0,0,300,沪A,0,
FALSE,8000022,09:20:40,已报,601187,厦门银行,买入,5.330,300,0,0,300,沪A,0,
FALSE,8000021,09:20:40,已成,601187,厦门银行,买入,5.350,300,300,0,0,沪A,0,
FALSE,8000020,09:20:40,已成,601187,厦门银行,买入,5.370,300,300,0,0,沪A,0,
FALSE,8000019,09:20:40,已成,601187,厦门银行,卖出,5.410,300,300,0,0,沪A,0,
FALSE,8000018,09:20:40,已成,601187,厦门银行,卖出,5.430,300,300,0,0,沪A,0,
FALSE,8000017,09:20:40,已撤,601187,厦门银行,卖出,5.450,300,0,300,300,沪A,0,
FALSE,8000016,09:20:40,已报,601236,红塔证券,卖出,7.460,100,0,0,100,沪A,0,
FALSE,8000015,09:20:40,已报,601236,红塔证券,卖出,7.520,100,0,0,100,沪A,0,
FALSE,8000014,09:20:40,已报,601236,红塔证券,卖出,7.580,200,0,0,200,沪A,0,
FALSE,8000013,09:20:40,已报,002475,立讯精密,买入,26.820,100,0,0,100,深A,0,
FALSE,8000012,09:20:40,已报,002475,立讯精密,买入,27.390,100,0,0,100,深A,0,
FALSE,8000011,09:20:40,已成,002475,立讯精密,买入,27.960,100,100,0,0,深A,0,
FALSE,8000010,09:20:40,已报,002475,立讯精密,卖出,29.110,100,0,0,100,深A,0,
FALSE,8000009,09:20:40,已报,002475,立讯精密,卖出,29.680,100,0,0,100,深A,0,
FALSE,8000008,09:20:40,已报,002475,立讯精密,卖出,30.250,100,0,0,100,深A,0,
FALSE,8000007,09:20:40,已报,000563,陕国投Ａ,买入,2.940,400,0,0,400,深A,0,
FALSE,8000006,09:20:40,已报,000563,陕国投Ａ,买入,2.950,400,0,0,400,深A,0,
FALSE,8000005,09:20:40,已报,000563,陕国投Ａ,买入,2.970,400,0,0,400,深A,0,
FALSE,8000004,09:20:40,已报,000563,陕国投Ａ,买入,2.980,400,0,0,400,深A,0,
FALSE,8000003,09:20:40,已成,000563,陕国投Ａ,买入,3.000,500,500,0,0,深A,0,
FALSE,8000002,09:20:40,已成,000563,陕国投Ａ,卖出,3.030,500,500,0,0,深A,0,
FALSE,8000001,09:20:40,已报,000563,陕国投Ａ,卖出,3.040,500,0,0,500,深A,0,
FALSE,8000000,09:20:40,已报,000563,陕国投Ａ,卖出,3.060,500,0,0,500,深A,0,