委托编号,成交编号,证券代码,证券名称,委托属性,买卖方向,成交价格,成交数量,成交金额,成交时间,证券市场
8000153,1200801003697884,204001,GC001,回购,卖出,1.820,3100,"310,000.00",15:01:13,沪A
8000150,0104000051236296,000563,陕国投Ａ,买卖,买入,3.000,500,"1,500.00",14:47:45,深A
8000134,31289148,601187,厦门银行,买卖,卖出,5.370,300,"1,611.00",14:21:14,沪A
8000110,0104000051149667,000563,陕国投Ａ,买卖,卖出,3.010,500,"1,505.00",14:47:17,深A
8000105,23584098,601187,厦门银行,买卖,买入,5.390,300,"1,617.00",13:18:49,沪A
8000098,23529735,601187,厦门银行,买卖,卖出,5.410,300,"1,623.00",13:18:23,沪A
8000078,9248741,601187,厦门银行,买卖,买入,5.410,300,"1,623.00",09:58:38,沪A
8000077,6911985,601187,厦门银行,买卖,卖出,5.430,300,"1,629.00",09:48:39,沪A
8000075,5739164,601187,厦门银行,买卖,买入,5.410,300,"1,623.00",09:44:08,沪A
8000073,0104000023873108,000563,陕国投Ａ,买卖,买入,3.010,500,"1,505.00",10:32:48,深A
8000071,14228154,601187,厦门银行,买卖,买入,5.390,300,"1,617.00",10:25:18,沪A
8000070,4161958,601187,厦门银行,买卖,卖出,5.410,300,"1,623.00",09:39:12,沪A
8000067,2129840,601187,厦门银行,买卖,买入,5.390,100,539.00,09:33:16,沪A
8000067,2128626,601187,厦门银行,买卖,买入,5.390,200,"1,078.00",09:33:16,沪A
8000065,26421960,601187,厦门银行,买卖,买入,5.370,300,"1,611.00",13:42:02,沪A
8000064,868694,601187,厦门银行,买卖,卖出,5.390,300,"1,617.00",09:30:40,沪A
8000021,27853709,601187,厦门银行,买卖,买入,5.350,100,535.00,13:51:41,沪A
8000021,27843577,601187,厦门银行,买卖,买入,5.350,200,"1,070.00",13:51:39,沪A
8000020,433230,601187,厦门银行,买卖,买入,5.370,300,"1,611.00",09:30:12,沪A
8000019,929399,601187,厦门银行,买卖,卖出,5.410,300,"1,623.00",09:30:45,沪A
8000018,4763588,601187,厦门银行,买卖,卖出,5.430,300,"1,629.00",09:41:09,沪A
8000011,0104000002396945,002475,立讯精密,买卖,买入,27.960,100,"2,796.00",09:31:12,深A
8000003,0104000035586857,000563,陕国投Ａ,买卖,买入,3.000,500,"1,500.00",13:19:48,深A
8000002,0104000007657480,000563,陕国投Ａ,买卖,卖出,3.030,500,"1,515.00",09:39:50,深A